SITE,ADDRESS,CITY,STATE/REGION,COUNTRY
"Flextronics International, Ltd. (Zhuhai, China)","Xin Qing Science and Technology Industrial Park Jin An, Doumen",Zhuhai,Guangdong,China
Floraware India Pvt. Ltd.,"Shed No. 12, Atika Industrial Estate, Near Sahkar Main Road",Rajkot,Gujarat,India
Food Science,929 Harvest Lane,Williston,Vermont,United States
Foot On Shoes,"5Th Milestone, Nh2, Agra-Delhi Bypass Road",Agra,Uttar Pradesh,India
"ForBetter New Material Solutions Co., Ltd.","No.218, Guanzhang Road, Hengkeng Community, Liaobu Town",Dongguan,Guangdong,China
Foresight Optical (Xiamen) Ltd.,"19 Guanghua Road, Xinglin Ind. Park",Xiamen,Fujian,China
"Forewin (Suzhou) Electronics Co., Ltd.","No. 189 Jinfeng Road, New District",Suzhou,Jiangsu,China
Forte Furniture Products India Private Ltd,"G106, Sidco Industrial Estate",Kakkalur,Tamil Nadu,India
"Fortune Grand Technology,
DongGuan) Inc. (ForGrand","2nd Industrial Zone Dajintou, Dalang Town",Dongguan,Guangdong,China
"Fortunta International Co., Ltd.","5F, Building1, NiuJiaoLong Industrial Park, Guanlan Street, Longhua
District",Shenzhen,Guangdong,China
Forza Industries Ltd,"Units 7&8 Hall Avenue, Axiom Orbital Park, Sevington",Ashford,England,"United
Kingdom"
"Foshan Field Smart Lighting Co., Ltd","12# Sanyang Road, Sanzhou Town, Hecheng, Cangjiang Industrial District
Gaoming",Foshan,Guangdong,China
Foshan Innolux Optoelectronics Ltd.,"Xingye North Road, Nanhai Science & Technology Industry Park, Shishan
Township",Foshan,Guangdong,China
"Foshan Nanhai World Richman Technology &
Innovation Co. Ltd.","Hengjiang Village, Yanbu, Nanhai District",Foshan,Guangdong,China
"Foshan Shunde Midea Electrical Heating App. Mfg.
Co. Ltd","19 Sanle East Road, Beijiao, Shunde",Foshan,Guangdong,China
Freewill Sports Pvt Ltd,"392, Leather Complex, Kapurthala Road",Jalandhar,Punjab,India
Frendi Fashions Pvt Ltd,"A.P.Ekambaram Nayagar Complex, No. 25 Thirumurugan Nagar, Arcot
Road, Porur",Chennai,Tamil Nadu,India
"Fruit Of The Earth, Inc. - Fort Worth",3324 West Trinity Blvd.,Fort Worth,Texas,United States
"Fruit Of The Earth, Inc. - Grand Prairie",1430 Avenue R,Grand Prairie,Texas,United States
Fuding Precision Industry (ZhengZhou) Co.Ltd,"No.4401 Shangdu Road, Baisha Town, Zhengdong New District",Zhengzhou,Henan,China
"Fugang Electric (Kunshan) Co., Ltd.","No. 6 Zheng Wei West Road, Jin Xi Town",Kunshan,Jiangsu,China
"Fujian Dong Fang Lie Lang Clothing Weaving Co.,
Ltd.","Huang Shi Industrial Area, Huangshi Town, Licheng District",Putian,Fujian,China
"Fujian Kingwell Furnitue Co., Ltd","Jiulong Industrial Zone, Hua'An Economic Development Zone",Zhangzhou,Fujian,China
Fujian Nashida Electronic Incorporated Company,"No.16, Xinchengxi Road, Qingkou Town",Fuzhou,Fujian,China
"Fuqing Huatai Shoes Co., Ltd","Lingjiao Industrial Zone, Shangjing Town",Fuqing,Fujian,China
"Fuzhou New Developing Home Products Co., Ltd","No.104 National Road, Guantou Investment Zone, Lianjiang County",Fuzhou,Fujian,China
"Fuzhun Precision Electronics(Hebi) Co.,LTD","North No. 6 Weft Road, Mid Heqi Avenue,Heqi Industry Cluster District",Hebi,Henan,China
Gama Textile Madagascar Sarl,"Zone C2, Lotissement Santillo",West Anosizato,Antananarivo,Madagascar
Ganesh Enterprise (Uttam Kitchenware),"Aji G.I.D.C. Shed No.K-4, Road No. H",Rajkot,Gujarat,India
Gaomi Monyuan Home Fashions Ltd,No.1 Fuyuan Qian Street,Gaomi,Shandong,China
Gardner Pet Group Inc.,2845 Wingate Street,West Bend,Wisconsin,United States
Garment 10 Joint-Stock Company,"Sai Dong Ward, Long Bien District",Hà Nội,Hà Nội,Vietnam
Gaurav Containers Limited,"Plot No. 4 & 5, Somnath Co-Op Ind. Society Ltd, Opp. Govt Dairy,
Somnath Road, Dabhel",Daman,"Dadra and Nagar
Haveli",India
"GD Midea Air Conditioning Equipment Co., Ltd","Lingang Road, Beijiao, Shunde",Foshan,Guangdong,China
Genlabs,5568 Schaefer Avenue,Chino,California,United States
Georgia Pacific Hattiesburg,1Wl Runners Drive,Hattiesburg,Mississippi,United States
Georgia-Pacific Darlington Plant,126 A Avenue,Darlington,South Carolina,United States
Georgia-Pacific Green Bay Day Street Mill,500 Day Street,Green Bay,Wisconsin,United States
Georgia-Pacific Palatka Mill,County Road 216,Palatka,Florida,United States
"Gesilight Electrical Industry Co., Ltd","No.1, Dafulu, Dafuji, Shunde District",Foshan,Guangdong,China
"GG Vietnam Co., Ltd.","Km 30, High Way No.5, Bach Sam Commune",My Hao,Hưng Yên,Vietnam
Glanbia Performance Nutrition - Meridian Lake Dr.,600 Commerce St.,Aurora,Illinois,United States
Global Attire Ltd,"Khejurtek, Mirzanagar, Pathalia Savar",Dhaka,Dhaka,Bangladesh
"Global Furniture (Zhejiang) Co., Ltd.","Sunny Functional Industrial Zone, Dipu, Anji",Huzhou,Zhejiang,China
Global Garments Ltd,"11, Kalurghat Heavy I/A",Chittagong,Chittagong,Bangladesh
GNP Apparels Private Limited,"F-94, Riico Apparel Park, Mahal Road, Jagatpura",Jaipur,Rajasthan,India
Godrej & Boyce Mfg. Co. Ltd,"Plot No. 126, Por G I D C Vill.: Por Ramangamdi",Vadodara,Gujarat,India
Goertek Inc. (CM),"No. 268, Dongfang Road and No. 999 Liyuan Street, Hi-Tech Industrial
Development Zone",Weifang,Shandong,China
"Golden A&A Textile (Shanghai) Co, Ltd",No 19 Zhendong Road Yexie Town Songjiang District,Shanghai,Shanghai,China
Goldtex Garments Limited,"Plot No: 98-100, Dhaka Export Processing Zone, Savar",Dhaka,Dhaka,Bangladesh
Good Way Electronic (Kunshan) Co. Ltd.,"No.101, Hengchangjing Road, Zhoushi Town",Kunshan,Jiangsu,China
Goodwill Fabrics Pvt. Ltd.,"10/11 Singasandra, Hosur Road",Bangalore,Karnataka,India
Goyal Fashions Pvt. Ltd.,"Goyal House, 24, Ajmer Road",Jaipur,Rajasthan,India
"Great Global International Co., Ltd.","Lot C3.6 Gian Khau Industrial Park, Gia Vien District, Ninh Binh",Gia Vân,Ninh Bình,Vietnam
Green Textile Limited,"Nijhuri, Baraid, 2 No. Meduari, Bhaluka",Mymensingh,Dhaka,Bangladesh
"Green Point Technology (Shenzhen) Co., Ltd.","A2, A3, A5 MinZhu Technology Zone JiuCheng Rd., ShaJing Town Bao'an
District",Shenzhen,Guangdong,China
"Guang Dong Guanghaida Industrial Co., Ltd","8th Panlong Road, Baida Industrial Zone, Baiguodong Village,
Zhangmutou Town",Dongguan,Guangdong,China
"Guangdong Esquel Textiles Co., Ltd.","Cangjiang Exports Processing Zone, Gaoming District",Foshan,Guangdong,China
"Guangdong Everwin Precision Technology Co.,Ltd
(Plastic Branch)","Block #3, No. 02 of Xinhu Road, High and New Technology Industrial
Park, Songshan Lake",Dongguan,Guangdong,China
"Guangdong Green Precision Components Co., Ltd.",Digitial Industrial Park Sandong,Huizhou,Guangdong,China
"Guangdong Guoli Technology Co., Ltd.","Nange Industry Nanya Village, Daojiao Town",Dongguan,Guangdong,China
"Guangdong Homezest Tech. Co., Ltd","19 Xinhui Road, Wusha Industrial Park, Shunde District",Foshan,Guangdong,China
"Guangdong Lihongji Stainless Steel Industry Co.,
Ltd.","The Middle Of Chaoyang Road, Jiedong Development Zone",Jieyang,Guangdong,China
Guangdong Midea Consumer Electric Mfg. Co.,"No.19, Lingang Road, Beijiao Town Shunde District",Foshan,Guangdong,China
Guangdong Wireking Household Supplies Co. Ltd,"No. 38A, Yangda Road, Sanzhou, Lunjiao, Shunde",Foshan,Guangdong,China
Guangxi Beiliu Huangsheng Porcelain Ltd,"14 Group, Shuangtuo Village, Pingzheng Town",Beiliu,Guangxi,China
Guangxi Beiliu Yujie Porcelain Ltd.,Min’An Porcelain Industrial Garden,Beiliu,Guangxi,China
"Guangxi Lipu Lilin Wood Products Co., Ltd.","Changshuiling Industrial Zone, Maling Town, Lipu County",Guilin,Guangxi,China
"GuangZhou Meadville Electronics Co., Ltd.","No. 1, Xinle Road, Science City Guangzhou Guangzhou Hi-Tech Industry
Development Zone",Guangzhou,Guangdong,China
"Guangzhou Panyu Juda Car Audio Equipment Co.,
Ltd.","Vtrek Industrial Park, Shibei Industrial Road, Dashi Town, Panyu District",Guangzhou,Guangdong,China
"Guanzhou Bangqi Leather Co, Ltd.","Floor 2-3, No 83 Of Xiangxing Street, Hecheng Village, Shiling Town,
Huandu District",Guangzhou,Guandong,China
Guoguang Electric Company Limited,"No.8 Jinghu Road, Xinhua Street, Huadu Reg",Guangzhou,Guangdong,China
"H&Y Technology Co., Ltd.","No.24, Xialian Road, Xia-Gang Village, Chang-An Town",Dongguan,Guangdong,China
Hafizia Art & Crafts Pvt. Ltd.,Salempur Ali Raza Nagra Road,Sitapur,Uttar Pradesh,India
Hai Anh Tex Joint Stock Company,"Ba Dong Village, Binh Minh Commune",Bình Giang,Hải Dương,Vietnam
"Haian Lianfa Garments Co., Ltd","No.88, Henglian Road, Haian",Nantong,Jiangsu,China
Halos Creations Pvt Ltd,"A-16/13, Site-4, Sahibabad Industrial Area",Ghaziabad,Uttar Pradesh,India
Hangzhou Amphenol Phoenix,"No. 98-5 (South), Road 19 Hangzhou Economic and Technological
Development Zone",Hangzhou,Zhejiang,China
"Hangzhou Dafang Tools Co., Ltd","No.18 Yanhe Road Huangshan Village, Wenyan Street, Xiaoshan",Hangzhou,Zhejiang,China
"Hangzhou Dafangtools Co., Ltd.","Huangshan Village, Wenyan Street, Xiaoshan District",Hangzhou,Zhejiang,China
Hangzhou Kaite Electrical Appliance Co. Ltd.,"Industrial Function Zone, Zhengjialong Village, Sandu Town, Jiande",Hangzhou,Zhejiang,China
"Hangzhou Kuka Chairs Co., Ltd.","No. 189, Sanfeng Road , Qianjin Street, Jiangdong Industrial Area,
Xiaoshan District",Hangzhou,Zhejiang,China
"Hangzhou Tianyuan Pet Products Co., Ltd","No.10-1 Xingling Rd, Xingqiao, Linping, Yuhang",Hangzhou,Zhejiang,China
Hansong (Nanjing) Technology Ltd.,"8th Kangping Road, Jiangning Economy And Technology Development
Zone",Nanjing,Jiangsu,China
"Haso Sanitary Materials (Suzhou) Co., Ltd","555 Lingangnan Road, Yuewang Town",Taicang,Jiangsu,China
"He Fong Enterprise Co., Ltd","Chras Village, Sangkat Phnom Penh Thmei, Khan Sen Sok",Phnom Penh,Phnom Penh,Cambodia
"Healthcare Co., Ltd.","No. 999, Gaonan Road, Dingyan Town",Rugao,Jiangsu,China
"Hefei BOE Optoelectronics Technology Co., Ltd.","No. 2177 Tonglingbei Rd., Xinzhan General Pilot Zone",Hefei,Anhui,China
"Hefei Hengxin Environmental Science And
Technology Co., Ltd.","No. 36 Shuangfeng Road, Shuangfeng Industrial Park",Hefei,Anhui,China
"Henan Baisheng Footwear Co., Ltd","Industrial Agglomeration Area, Sui County",Shangqiu,Henan,China
"Henan Tengrun Industrial Co., Ltd","Zhenxing Road, Sui County",Shangqiu,Henan,China
"Hengdian Group Tospo Lighting Co., Ltd.","No.88 Kexing Road, Hengdian Electronic Industrial Zone",Dongyang,Zhejiang,China
"Hengli Precision Industry (Guandong) Co., Ltd","No. 21 Industrial Road South, Xiaolan Industrial Park Xiaolan Town",Zhongshan,Guangdong,China
Hilding Anders Polska Sp. Z O.O.,Ul. Polna 17 62-095,Murowana Goslina,,Poland
Himatsingka Linens,"No. 01, Hanumanthpur Village, Gorur Road",Hassan,Karnataka,India
Hind Rubber Factory,"14 Leather Complex, Kapurthala Road",Jalandhar,Punjab,India
"Hinen Electronics (Shenzhen) Co., Ltd","Building M, Licheng Tech. Ind Zone, Xin He Road , Shajing Town",Shenzhen,Guangdong,China
Hi-P Suzhou,"No. 86 Liu Feng Road, He Dong Industrial Park, Guo Xiang, Wu Zhong
District",Suzhou,Jiangsu,China
"Hirose Electric, Inc. (Tohoku)","21-2, Kubotai, Akamae",Miyako,Iwate,Japan
"Hisense Ronshen (Yangzhou) Refrigerator Co.,
Ltd.","No. 19 Hongyang Road, Economic Development Zone",Yangzhou,Jiangsu,China
"HM Richards, Inc.",120 HM Richards Way,Guntown,Mississippi,United States
Hoffmaster Group Inc.,2920 N. Main Street,Oshkosh,Wisconsin,United States
"Hongfujin Precision Ltd (Plastic Resource
Application Centre)","3th Floor, F16 Building, No.2, 2nd Donghuan Road,10th Yousong
Industrial District",Shenzhen,Guangdong,China
"Honor Faith Leather, Leather Top Co., ltd","37-2,Bangseong-ri Baekseok-eup",Yangju-si,Gyeonggi-do,South Korea
Hop Lun Apparel Ltd.,"Noujor, Kadda Bazar, Gazipur Sadar",Gazipur,Dhaka,Bangladesh
"Hosonic Electronic Co., Ltd. (Hangzhou)","No.2880 Mo Gan Shan Road, Liangzhu Street , Yuhang Distric",Hangzhou,Zhejiang,China
"Hua Jian Electronics Co., Ltd.","No.3 Longxin 5 Road, Longxin Industrial District, Shantou Special
Economic Zone",Shantou,Guangdong,China
"Huilin Packing Dongguan Co., Ltd.","No. 1 Industrial Zone, Dazhou Village, Qiaotou Town",Dongguan,Guangdong,China
Huizhou D&S Cable Co Ltd,"Dongjiang Industrial Zone, Lonjin, Shuikou Town, Huicheng District",Huizhou,Guangdong,China
"Huizhou Jianrou Technology Co., Ltd.","Minke Park Plant 1-4, Southern Area, Huizhou Digital Industrial Park",Huizhou,Guangdong,China
Huizhou Modern Battery Limited,"No.11 Gu Tang Ao Road, Zhongkai Gaoxin Industrial Zone",Huizhou,Guangdong,China
Huizhou Nanxuan Knitting Factory Limited,"Nanxuan Ind. Centre, Shuikou, Huicheng Dist.",Huizhou,Guangdong,China
"Huizhou U&T Electronics Co., Ltd","3rd Floor, Honglin Industrial Park, Dongxing Area, Dongjiang Hi-Tech
Industrial Zone",Huizhou,Guangdong,China
"Huizhou Xinweifa Industrial Co., Ltd.","Tianhong Industrial Zone, Xinxu Town, Huiyang District",Huizhou,Guangdong,China
"Hulu Garment Co., Ltd.","Phum Chak Chrouk, Sangkat Samrorng Kram, Khan Posenchey",Phnom Penh,Phnom Penh,Cambodia
Hung Ha High Tech Production & Trade Centre,"Hung Ha Town, Hung Ha District",Hung Ha,Thái Bình,Vietnam
Hung Vu Garment Joint Stock Company,"Nhan Vu, Nguyen Trai",Ân Thi,Hưng Yên,Vietnam
"Hung Yen Garment Corporation- Joint Stock
Company",No. 8 Bach Dang Street- Minh Khai Ward,Hưng Yên,Hưng Yên,Vietnam
"Huzhou Tianyuan Pet Products Co., Ltd","No.183, Hanghai Rd, Yuyue Town, Deqing County",Huzhou,Zhejiang,China
"H-Welldone Manufacturing Co., Ltd.","Changxing Road, Shanbian Group, Shexi Village, Shatian Town",Dongguan,Guangdong,China
Hynix Semiconductor Inc. - Gyeonggi-do,"2091 Gyeongchung-daero, Bubal-eup",Icheon-si,Gyeonggi-do,South Korea
Hynix Semiconductor Inc. (Cheongju),"337, Jikji-daero, Cheongju-si heungdeok-gu,",Seoul,Chungcheongbuk-Do,South Korea
Hyosung Corporation,"(12BL-7) 618-2 Choji-Dong, Danwon-gu",Asan City,Kyungki-do,South Korea
Ideal Technology Company Limited,"No.12, Xiangrong Road, Song Mu Shan, Dalang Town",Dongguan,Guangdong,China
"Ideal Technology Company Limited Dongguan
Branch","Area B, Xinxin Industrial Park, Feng Da, Dongkeng Town",Dongguan,Guangdong,China
Ideas (Jiangxi) Enterprises Ltd,"Midst Of Yanhu Road, Shahe Industrial Park, Zhanggong District",Ganzhou,Jiangxi,China
"Idemia (Shenzhen) Co., Ltd.","4/F Great Wall Tech. No.2 Kefa Rd, Science and Technology Park;
Nanshan District",Shenzhen,Guangdong,China
IFF Overseas Pvt. Ltd,"140/2 Ring Road Square, Musakeri",Indore,Madhya Pradesh,India
"Indigo White Tekstil Konfeksiyon P. S. Ve Dis Tic.
A.S.",Akcaburgaz Mah. 3095 Sok. No:4 Esenyurt,Istanbul,Istanbul Province,Turkey
Indo Count Industries Limited,"Plot No.Tc-3, Five Star, Hatkanangale",Kolhapur,Maharashtra,India
Industria De Calcados Kissol Ltda,"Rua Irmão Antunes, 813 – Franca - Sp",São Paulo,São Paulo,Brazil
Industrias Del Interior S. De R.L. De C.V (Dos Mill),"Carretera Rincón De Romos-Tepezalá, Km .900",Rincón de Romos,Aguascalientes,Mexico
"Industrias Del Interior S. Del R.L.C D E C.V
(Georgina)",Jose Barba Alonso # 209 Ciudad Insustrial,Aguascalientes,Aguascalientes,Mexico
Industrias Printex S.A.S,"Km 12 Vía Al Valle, 500 Mt Antes Del Club Campestre, La Tebaida",Armenia,Quindio,Colombia
Infastech Wuxi,"No.9 Xi Xia road, Wuxi Hi-Tech Industrial Development Zone",Wuxi,Jiangsu,China
Infineon Technologies,No.8 Xing Chuang 3rd Road Wuxi-Singapore Industrial Park,Wuxi,Jiangsu,China
"Innocor East, LLC",976 US-45,Baldwyn,Mississippi,United States
"Innocor, Inc (West Chicago)",1750 Downs Drive,West Chicago,Illinois,United States
Innolux Corp.,"No.160, Kesyue Road, Jhu-nan Science Park",Jhu-nan,Miaoli County,Taiwan
Innolux Corp.,"No.3, Sec. 1, Huansi Rd., Southern Taiwan Science Park",Tainan City,Tainan,Taiwan
"Inno-Sports Co., Ltd","No.69, North Road 2, Xinglin",Xiamen,Fujian,China
Innovative Gloves Company Ltd,"830, Moo 4, Sanambin Ban Klang Road, Kuanlang",Hat Yai,Songkhla,Thailand
Integral Memory Plc,"Unit 15, Iron Bridge Close, Iron Bridge Business Park",London,England,"United
Kingdom"
Intercorse Europe Spa – Dovera Site,"Sp 472, Km 21, 150",Dovera,Cremona,Italy
Intercos Europe Spa – Agrate Brianza Site,Via G. Marconi 84,Agrate Brianza,Monza and Brianza,Italy
"Interflex Co., Ltd (HQ and Factory)","600 Sunggok-Dong, Ansan-City Kyungki Do",Asan City,Kyungki-do,South Korea
Intergel Pharmaceuticals Inc,191 40th Street,Irvington,New Jersey,United States
Interloop Limited Hd03,"8Km Manga Raiwind Road, Raiwind",Lahore,Punjab,Pakistan
Interloop Limited Hosiery,1Km Jaranwala Road Khurrianwala,Faisalabad,Punjab,Pakistan
International Knitwear & Apparels Limited,"Beximco Industrial Park, Sarabo Kashimpur",Gazipur,Dhaka,Bangladesh
"International Stationery Company Limited
(Vietnam)","Lot No. Cn12-Cn13 Tan Lien Industrial Cluster, Vinh Bao District",Hải Phòng,Hải Phòng,Vietnam
International Vitamin Corporation (IVA),11010 Hopkins Street,Mira Loma,California,United States
International Vitamin Corporation (IVCN),"No 20, Jiangshan Road",Jingjiang,Jiangsu,China
International Vitamin Corporation (IVP),4615 Dairy Drive,Greenville,South Carolina,United States
Intertape Polymer Group - Danville Site,1101 Eagle Springs Road,Danville,Virginia,United States
Intradesa Main Building,Kilometro 7 ½ Boulevard Del Ejército,Soyapango,San Salvador,El Salvador
Intradesa Plant 8,Ave Chaparastique Edificio #21-22 Zona Franca San Bartolo,Ilopango,San Salvador,El Salvador
InvenSense (Taiwan),"1F, 9 Prosperity 1st Road, Hsinchu Science Park",Hsin-Chu,Hsin-Chu,Taiwan
Inzex Textile Pvt Ltd,"Plot 230, Phase 4, Hsiidc, Sector 57, Industrial Area, Kundli",Sonipat,Haryana,India
Ionut Fashion Alexmary Srl,"Str Iezer, Nr 11A",Campulung,Arges,Romania
Iovate Health Sciences International Inc.,1291 Progress Center Avenue,Lawrenceville,Georgia,United States
"Iovate Health Sciences International Milk
Specialties",248 E. Chicago Road,Wautoma,Wisconsin,United States
"Irisohyama, Inc.",1-KamiOsaka-Osaka,Kakuda,"Miyagi, Osakakami
Osaka",Japan
Iswarya Knit Fabs,"93, Vice Thottam, Trichy Road, Palladam, Tirupur Dt",Tirupur,Tamil Nadu,India
"IVC International Vitamin Corporation (Delavau
LLC)",10101 Roosevelt Blvd,Philadelphia,Pennsylvania,United States
IVC Brunel Healthcare,William Nadin Way,Swadlincote,England,"United
Kingdom"
"Jabil Circuit, Inc.",30 Great Oaks Blvd,San Jose,California,United States
Jagdamba Cutlery Private Limited,"Plot No. 153-D, I&J (Epip Kundli), Hsiidc Ind Area",Sonipat,Haryana,India
Jaipur Crafts Pvt. Ltd.,"Plot No .012-11, 012-12, 012-23, 012-24, Mahindra Sez, Vpo:Kalwara",Jaipur,Rajasthan,India
Jawandsons,"Vpo- Bhamian Kalan, Tajpur Road",Ludhiana,Punjab,India
Jet Power International Limited,"No. 107 Block, New Sun Industrial Estate, Lincun District, Tangxia Town",Dongguan,Guangdong,China
"Jiang Su Zhong Heng Pet Articles Joint-Stock Co.,
Ltd","No. 1388, Century Avenue",Yancheng,Jiangsu,China
"Jiangsu Grelide Pure Water Technology Co., Ltd.","No.599, Guangzhou Road, Huaiyin District",Huai’an,Jiangsu,China
"Jiangsu Hualing Electrical Technology Co., Ltd","Zhengping Industrial Zone, Lijia Town, Wujing District",Changzhou,Jiangsu,China
"Jiangsu Hysafety Co., Ltd.",No.85 East Shenzhen Road,Huai’an,Jiangsu,China
"Jiangsu Intco Medical Products Co., Ltd.","No.77, Yandunshan Road, Dagang Town",Zhenjiang,Jiangsu,China
"Jiangsu Midea Cleaning Appliances Co., Ltd","No. 39 Caohu Avenue, Xiangcheng Economic Development Zone",Suzhou,Jiangsu,China
"Jiangsu Runli Garment Co., Ltd",No.11-1 Suyuan South Road Suining Economic Development Zone,Xuzhou,Jiangsu,China
"Jiangsu Sunsportive Clothing Co., Ltd","No. 71, Xuyang Road, Huaian Economic Development Area",Huai’an,Jiangsu,China
"Jiangsu Xiangfa Silk Garment Co., Ltd",No.99 Xicheng Rd,Jintan,Jiangsu,China
"Jiangsu Yishun Medical Equipment Co., Ltd","No 25, Haiyan Road, High-Tech Industrial Zone",Qidong,Jiangsu,China
"Jiangsu Yizheng Carepro Medical Instruments Co.,
Ltd","No. 3 Jingxiu Road, Yizheng Economic Development Zone, Jiangsu",Yizheng,Jiangsu,China
Jiangsu Yungfu Fasion Ltd,"No. 3 Renmin Road, Gushan Town Jiangying",Wuxi,Jiangsu,China
"JiangXi Lian Chuang Hong Sheng Electronics
Company Ltd.","No. 1699 Jingdong Road, Gaoxin Development Zone",Nanchang,Jiangxi,China
"Jiangyin Hongliu Bedsheet Co., Ltd.","No. 15, Hua Dong Road",Jiangyin,Jiangsu,China
"Jiangyin Shi Jindun Knitting Apparel Co., Ltd","No. 18, Zhengxingroad, Wenlinzhutang Town",Jiangyin,Jiangsu,China
"Jiaxing Haike Luggage Bags Co., Ltd","No. 558, Pingxing Road, Pinghu City",Jiaxing,Zhejiang,China
"Jiaxing J&X Cleaning Product Co., Ltd.","No. 50 Baoxiang Road, Jiaxing Comprehensive Bonded Zone",Jiaxing,Zhejiang,China
"Jiaxing Xiu Xin Knitting Co., Ltd.","199 Chaohui Road, Nanhu Economic Area",Jiaxing,Zhejiang,China
"Jie Zhi Yang Plastic Industrial Co., Ltd","No. 1, Xiaobu 2Nd Road, Guanjingtou Village, Fenggang Town",Dongguan,Guangdong,China
"Jin Jiang Xinya Sports Goods Co., Ltd","No. 26, Zhonghua Road, Technology Industrial Park, Wuli Industrial
District, Jinjiang",Quanzhou,Fujian,China
"Jinhua Sky Talent Power Tools Co., Ltd","18 Huanglong 3Rd. Road, Huanglong Industrial Par, Wuyi County",Jinhua,Zhejiang,China
Jining Chenyang Garment Co Ltd.,Eastern Of Beisu Town,Zoucheng,Shandong,China
Jinjiang Xinhuagnxing Co.Ltd,"No. 113 South District Chitang Chidian Town, Jinjiang",Quanzhou,Fujian,China
"Jinlong Industrial Co., Ltd.","No.105, Zhenxing Avenue, Pengjiang District",Jiangmen,Guangdong,China
Joshjosh Infotech,"3/51 A, Muttian Kinaru, Ichikadu Thottam, Eetiveerampalayam (P),
Perumanallur",Tirupur,Tamil Nadu,India
Just Jute Products,"#47/15, 12th Cross, Raghavendra Ind Estate, Thigalarapalya Main Road",Bangalore,Karnataka,India
K&D Technology Co. Ltd. (Bengbu),"K&D Bengbu Industrial Park. N0,8009 Huangshan Road",Bengbu,Anhui,China
K.L. Mahajan & Sons,"521, Achronda Road, Gagul Road, Partapur",Meerut,Uttar Pradesh,India
"Ka Fung Industrial Technology (Huizhou) Co., Ltd.","He Cha Village West Zone, Daya Bay",Huizhou,Guandong,China
Kai Buo Shoes Inc,"Xi Tou Industry, Hou Jie Town",Dongguan,Guangdong,China
Kapoor Industries Limited,"12Th Mile Stone, Village Machroli, G.T. Road",Panipat,Haryana,India
Karigar Niryat Pvt Ltd,"A-58, Sector 83",Noida,Uttar Pradesh,India
Kashyap Footwear Industries,"C-96, Epip Upsidc, Industrial Area, Shastripuram",Agra,Uttar Pradesh,India
Katerini Textile Ltd,"1, Republika Str - 2309 Teva",Pernik,Pernik Province,Bulgaria
Kavset Exports Pvt. Ltd.,"D-66, Site 4, Kasna Industrial Area",Greater Noida,Uttar Pradesh,India
Kay Tex Exporters,"D 143, Sector 63",Noida,Uttar Pradesh,India
KEMET (Guadalupe),"Avenida Eloy Cavazos 7908 Ote., Colonia Rancho Viejo",Guadalupe,Nuevo Leon,Mexico
KEMET (San Nicolas),Antiguo Camino al Mezquital No. 100 San Nicolás de los Garza,"San Nicolás de los
Garza",Nuevo Leon,Mexico
"KEMET (Suzhou, China)","No. 99 Yangpu Road, Suzhou Industrial Park",Suzhou,Jiangsu,China
Kerry Inc - Savannah,11 Artley Road,Savannah,Georgia,United States
Kimberly-Clark Corporation,2466 Farm Road 137,Paris,Texas,United States
"Kimberly-Clark GmbH, Niederbipp Mill",Rotboden 1,Niederbipp,Bern,Switzerland
Kingbright Corporation / SunLED Corporation,"No.2 Road Kangle Liulian Henggang, Longgang",Shenzhen,Guangdong,China
"Kinko Optical Co., Ltd (Taichung)","No. 32. Jing 1st Rd., Wuqi Dist.",Taichung,Taiwan,Taiwan
"Kinwing Electric Industrial Co., Ltd.","#1 Building, No. 16, Gaoxin East Road, Jianghai District",Jiangmen,Guangdong,China
Kkp Finelinen Pvt Ltd,#88 Salem Road,Namakkal,Tamil Nadu,India
Klaussner Furniture,405 Lewallen Rd,Asheboro,North Carolina,United States
Knit King Apparels,"No. 59/1, Ponmalar Street, Ponnammal Nagar, Pandian Nagar East",Tirupur,Tamil Nadu,India
"Knowles Electronics (Suzhou) Co., Ltd - Jiangsu","No. 20 Chunxing Road, Xiangcheng District",Suzhou,Jiangsu,China
Korea KyongNam Taiyo Yuden,"82, Oegukgieop-ro, Sanam-myeon, Sacheon-si, Gyeongsangnamdo",Sacheon,Gyeongsang-do,South Korea
KP Textil S.A,Sector 12 Manzana B Bodega 2- B Prados De Villa Hermosa Zona 7,Guatemala City,,Guatemala
Ktex Industrial Co Ltd,"Plot No 76 Road -05, Block K, Rupnagar, I/A Section 2, Mirpur",Dhaka,Dhaka,Bangladesh
Kuber Industries,"G-184, 185 Bank Of Baroda Lane, Garment Zone, Sitapura Industrial Area",Jaipur,Rajasthan,India
Kunal Houseware Pvt. Ltd.,"51/61, Manor Palghar Road",Netali Village,Maharashtra,India
"Kunshan Kersen Science & Technology Co., Ltd.","No. 389, Kunjia Road",Kunshan,Jiangsu,China
"Kunshan Yobot Fitness Co., Ltd.","No. 166, Zuchongzhi Road, Bacheng Town",Kunshan,Jiangsu,China
"Kunshan Yuanchen Electronic Material Co,Ltd","No.150, Pengxi South Rd",Kunshan,Jiangsu,China
Kwun Tong Apparels Ltd,"Plot# 59-87, Adamjee Epz, Shiddirgonj",Narayangonj,Dhaka,Bangladesh
Kyocera Connector products (Dongguan) Co. Ltd,"8 Jing Ci Road, New City District, Shilong Town",Dongguan,Guangdong,China
